title,address,price,connect,size,content,detial
[家澤國際地產]台電捷運面101辦公大樓,台北市大安區羅斯福路三段,"55,000 元",仲介(收費)：家澤不動產經紀有限公司陳亦凡,38.96 坪,0房(室)1廳1衛|樓層：12/12,https://rent.housefun.com.tw/rent/house/1611541/
[家澤國際地產]台電捷運面101辦公大樓,台北市大安區羅斯福路三段237號,"55,000 元",仲介(收費)：家澤不動產經紀有限公司陳亦凡,38.96 坪,0房(室)0廳1衛|樓層：12/12,https://rent.housefun.com.tw/rent/house/1604241/
國興生活機能佳採光通風萬大捷運住家,台北市萬華區國興路,"24,000 元",房東：蔡小姐,22 坪,2房(室)1廳1衛|樓層：7/12,https://rent.housefun.com.tw/rent/house/1143741/
富民生活機能佳裝潢新萬大捷運住家,台北市萬華區富民路,"24,000 元",代理人(不收費)：蔡小姐,27 坪,3房(室)1廳1衛|樓層：4/4,https://rent.housefun.com.tw/rent/house/1141107/
捷運南京復興站長安東路上優質景觀辦公室,台北市中山區長安東路二段,"60,000 元",仲介(收費)：鯨魚租屋黃先生,48 坪,0房(室)0廳2衛|樓層：12/12,https://rent.housefun.com.tw/rent/house/1612596/
八德路三段光復南路口公寓式套房出租,台北市松山區光復南路,"7,900 元",房東：解瓶子,6 坪,1房(室)0廳1衛|樓層：4/5,https://rent.housefun.com.tw/rent/house/1412294/
4米2大空間.中山國小站旁.天然瓦斯,台北市中山區新生北路三段,"25,000 元",仲介(收費)：永禾房屋簡先生,11.6 坪,1房(室)1廳1衛|樓層：5/12,https://rent.housefun.com.tw/rent/house/1610203/
挑高4米2兩房.採光亮麗.中山國小站旁,台北市中山區林森北路,"26,000 元",仲介(收費)：永禾房屋簡先生,13.7 坪,2房(室)1廳1衛|樓層：6/14,https://rent.housefun.com.tw/rent/house/1600561/
挑高4米2兩房.採光亮麗.中山國小站旁,台北市中山區林森北路,"26,000 元",仲介(收費)：永禾房屋簡先生,13.7 坪,2房(室)1廳1衛|樓層：6/14,https://rent.housefun.com.tw/rent/house/1120/
絕美4米2.近雙連站.馬偕.採光棒,台北市中山區中山北路二段,"30,000 元",仲介(收費)：永禾房屋簡先生,12.8 坪,1房(室)1廳2衛|樓層：10/12,https://rent.housefun.com.tw/rent/house/1597564/
奢華風挑高1+1房，使用空間大，有浴缸+陽台,台北市中山區雙城街,"35,000 元",仲介(收費)：永禾房屋簡先生,20.57 坪,2房(室)1廳1衛|樓層：8/14,https://rent.housefun.com.tw/rent/house/1597561/
含稅.精緻電梯大套房.採光通風好,台北市中山區林森北路,"23,000 元",仲介(收費)：永禾房屋簡先生,13.72 坪,1房(室)0廳1衛|樓層：11/15,https://rent.housefun.com.tw/rent/house/1596514/
挑高大一房有陽台.高樓邊間採光好,台北市中山區新生北路二段,"30,000 元",仲介(收費)：永禾房屋簡先生,17.93 坪,1房(室)1廳1衛|樓層：11/12,https://rent.housefun.com.tw/rent/house/1596511/
